experiment,method,label,sample_episodes,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,actor_class,fit_steps,direction_method,variant,source_n,target_n
P-E,AN,mc_raw,128,False,q_bound,5.0,0.0,4,5.0,5.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,q_coefficient_0,0.30467839326932256,0.14856063349198395,4,0.15526993659096605,0.4204234620773967,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,128,False,q_coefficient_1,0.3795535344830947,0.23568423828558635,4,0.2035329157964096,0.6054246716051512,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,source_steps_total,628.0,0.0,4,628.0,628.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,source_steps_training,128.0,0.0,4,128.0,128.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,source_steps_validation,500.0,0.0,4,500.0,500.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,direction_error,0.04793334121711865,0.05189998582155426,4,0.006379799169441854,0.09486783256828604,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,direction_norm,0.13529517826809523,0.13906337150960354,4,0.05168798113089508,0.26954322235927486,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,exact_score,0.018594658782881295,0.05189998582155425,4,-0.028339832568286105,0.06014820083055808,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,validation_score,0.041470504103588525,0.03886019127902118,4,0.008657558040113311,0.07910670050784455,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,validation_score_variance,0.8032174149594751,0.6472211881020494,4,0.39988110596456883,1.4259491155341517,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,validation_gradient_trace_variance,4.813187817007655,1.0217773640165526,4,3.934227381979251,5.760602188034042,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,fixed_oracle_q_score_variance,0.42138163732958855,0.11334724820190098,4,0.32915639045830414,0.513606884200873,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,fixed_oracle_q_gradient_trace_variance,4.823527618179595,1.1648549104926136,4,3.821662714897775,5.8596742932417065,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,curvature_min,0.36,0.0,4,0.36,0.36,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,curvature_max,1.9599999999999997,0.0,4,1.9599999999999997,1.9599999999999997,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,optimization_seconds,0.008675624849274755,0.00041622908415522614,4,0.008262049872428179,0.009014674578793347,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,direction_loss,-0.13203342436235854,0.13243963933736771,4,-0.25851781429407966,-0.050750714607385526,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,direction_steps,100.0,0.0,4,100.0,100.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,q_bound,5.0,0.0,4,5.0,5.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,q_coefficient_0,0.29393828793898663,0.13888150417967612,4,0.15005408890408284,0.39255767028496735,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,128,False,q_coefficient_1,0.39141932672309493,0.2529555354313774,4,0.20384925055285014,0.6378631603696006,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,512,False,source_steps_total,1012.0,0.0,4,1012.0,1012.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,512,False,source_steps_training,512.0,0.0,4,512.0,512.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,512,False,source_steps_validation,500.0,0.0,4,500.0,500.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,512,False,direction_error,0.0023466209311489876,0.0009199897848339931,4,0.0015449281229012015,0.0032180678599209606,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,512,False,direction_norm,0.07906435808951319,0.024584803349993346,4,0.05574439250156757,0.09534984306414125,training_seed_or_data_batch,True,,,,,,
