condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
pg,105,209715,208896,204,1.960760033538448
pg,105,222822,222208,217,1.9609277126719502
pg,105,235929,235520,230,1.9610709552651333
pg,105,249036,248832,243,1.9611960881630535
pg,105,262144,262144,256,1.961307531488408
pg,106,0,0,0,0.38376000000000016
pg,106,13107,12288,12,1.1567667224780478
pg,106,26214,25600,25,1.7882433582893658
pg,106,39321,38912,38,1.9263393094619208
pg,106,52428,52224,51,1.9483729469611044
pg,106,65536,65536,64,1.953886469235876
pg,106,78643,77824,76,1.955997979669181
pg,106,91750,91136,89,1.9572778950511345
pg,106,104857,104448,102,1.9581373985597788
pg,106,117964,117760,115,1.9587785734623988
pg,106,131072,131072,128,1.9592813665681328
pg,106,144179,143360,140,1.9596628511980156
pg,106,157286,156672,153,1.9600093395283242
pg,106,170393,169984,166,1.9602972944193133
pg,106,183500,183296,179,1.9605403914495274
pg,106,196608,196608,192,1.9607481561773494
pg,106,209715,208896,204,1.960911771014157
pg,106,222822,222208,217,1.96106544559874
pg,106,235929,235520,230,1.961201666732209
pg,106,249036,248832,243,1.96132103994956
pg,106,262144,262144,256,1.9614252506286034
pg,107,0,0,0,0.38376000000000043
pg,107,13107,12288,12,1.1514210322243015
pg,107,26214,25600,25,1.7861197383304266
pg,107,39321,38912,38,1.9251181067992613
pg,107,52428,52224,51,1.9474728692915106
pg,107,65536,65536,64,1.95315105170888
pg,107,78643,77824,76,1.9553699639036
pg,107,91750,91136,89,1.9567636694282633
pg,107,104857,104448,102,1.9577058285791276
pg,107,117964,117760,115,1.958417937855254
pg,107,131072,131072,128,1.9589741370555491
pg,107,144179,143360,140,1.9593890882075138
pg,107,157286,156672,153,1.9597624658393797
pg,107,170393,169984,166,1.9600684514312459
pg,107,183500,183296,179,1.9603328734103251
pg,107,196608,196608,192,1.9605554865400197
pg,107,209715,208896,204,1.9607349466441246
pg,107,222822,222208,217,1.9609038296444188
pg,107,235929,235520,230,1.961051434947881
pg,107,249036,248832,243,1.9611798957726871
pg,107,262144,262144,256,1.9612919019201274
pg,108,0,0,0,0.38376000000000016
pg,108,13107,12288,12,1.114465278824585
pg,108,26214,25600,25,1.7638783235651363
pg,108,39321,38912,38,1.9208490985959454
pg,108,52428,52224,51,1.9467187358354008
pg,108,65536,65536,64,1.9530575495990736
pg,108,78643,77824,76,1.9554093712893859
pg,108,91750,91136,89,1.9568270141868243
pg,108,104857,104448,102,1.9577772047849742
pg,108,117964,117760,115,1.9584930577240296
pg,108,131072,131072,128,1.9590526780694035
pg,108,144179,143360,140,1.9594705688221628
pg,108,157286,156672,153,1.959841699467944
pg,108,170393,169984,166,1.9601475696129977
pg,108,183500,183296,179,1.9604065913168134
pg,108,196608,196608,192,1.960627910735551
pg,108,209715,208896,204,1.9608016491672087
pg,108,222822,222208,217,1.9609632641641475
pg,108,235929,235520,230,1.9611053614501257
pg,108,249036,248832,243,1.961230977316715
pg,108,262144,262144,256,1.9613416835469033
pg,109,0,0,0,0.3837599999999999
pg,109,13107,12288,12,1.1871147236050459
pg,109,26214,25600,25,1.8082319271713383
pg,109,39321,38912,38,1.9306058501891459
pg,109,52428,52224,51,1.9497504718204914
pg,109,65536,65536,64,1.9546244557708141
pg,109,78643,77824,76,1.9564900658775677
pg,109,91750,91136,89,1.9576411153156419
pg,109,104857,104448,102,1.9584372301364201
pg,109,117964,117760,115,1.9590372083796457
pg,109,131072,131072,128,1.95951509183227
pg,109,144179,143360,140,1.959873796958949
pg,109,157286,156672,153,1.9601958219089042
pg,109,170393,169984,166,1.9604633528169688
pg,109,183500,183296,179,1.9606919047675087
pg,109,196608,196608,192,1.9608849485193132
pg,109,209715,208896,204,1.9610370411032285
