condition,seed,scene,reset_seed,action_seed,success,success_steps,episode_steps,restricted_steps,end_reason,J,final_coverage,collision_pairs_total,path_length
mappo,40,100,456840939,2150065543,1,23,23,23,success,-10.0762995320234,1.0,5.0,4.252289530748292
mappo,40,101,2104282548,2115660148,1,14,14,14,success,-5.499802499562608,1.0,0.0,3.193695962410219
mappo,40,102,3648778963,906396289,1,31,31,31,success,-11.667761638402965,1.0,0.0,6.173927396229242
mappo,40,103,1248515385,29290386,1,39,39,39,success,-18.343506311227532,1.0,9.0,9.378332003918734
mappo,40,104,3761874017,268693983,1,31,31,31,success,-12.358353499737863,1.0,3.0,6.211766681264486
mappo,40,105,686873687,71581671,1,47,47,47,success,-19.895179005956166,1.0,3.0,10.030204563819623
mappo,40,106,2535312175,923928030,1,26,26,26,success,-14.207355229552991,1.0,0.0,6.162223541597715
mappo,40,107,25058875,1797085194,1,81,81,81,success,-29.38790047286006,1.0,14.0,17.17983040980005
mappo,40,108,1743715751,724673539,1,52,52,52,success,-17.584160833465955,1.0,11.0,11.242817719480875
mappo,40,109,302520693,709500791,1,33,33,33,success,-20.576015984320662,1.0,4.0,8.18806873083033
mappo,40,110,1334254733,227300175,1,22,22,22,success,-9.214337653424323,1.0,3.0,5.588039340061907
mappo,40,111,2763517326,496718129,1,184,184,184,success,-72.63946855036225,1.0,26.0,42.98779624732387
mappo,40,112,136790667,2742642281,1,236,236,236,success,-89.06858681976408,1.0,34.0,48.051504701408724
mappo,40,113,1615423554,4028579842,1,91,91,91,success,-27.116681551565218,1.0,9.0,17.578665700346082
mappo,40,114,2607787509,2839390586,1,62,62,62,success,-19.537843308945057,1.0,2.0,12.151272878467644
mappo,40,115,945747616,1612125324,1,80,80,80,success,-44.61988168986538,1.0,22.0,20.220323056877362
mappo,40,116,3549465650,4148915041,1,14,14,14,success,-3.68294670789384,1.0,0.0,2.2265485451898184
mappo,40,117,1303390025,3809063591,1,83,83,83,success,-42.30961497580017,1.0,3.0,18.884096943264765
mappo,40,118,3221688785,2244548413,1,15,15,15,success,-7.834327879346037,1.0,0.0,3.744336104637951
mappo,40,119,824534366,2331219214,1,41,41,41,success,-27.333924923494067,1.0,0.0,10.24833498074142
mappo,40,120,3188765255,437485542,1,28,28,28,success,-9.803371257274726,1.0,2.0,5.47105619340083
mappo,40,121,2346009769,3503247403,1,30,30,30,success,-15.20428523872921,1.0,3.0,6.420145170313613
mappo,40,122,120953833,2926714504,1,143,143,143,success,-29.733868197080454,1.0,25.0,27.624810417940097
mappo,40,123,4258412672,2258500250,1,16,16,16,success,-9.003846538840946,1.0,0.0,3.864522029816065
mappo,40,124,3498886439,1309182024,1,56,56,56,success,-11.906741752309092,1.0,4.0,9.344415793954823
mappo,40,125,1261093983,3224713935,1,17,17,17,success,-8.483658309198606,1.0,0.0,3.9753315797701725
mappo,40,126,2437011402,559044669,1,33,33,33,success,-11.179119940435287,1.0,3.0,6.95176454898396
mappo,40,127,1137195142,4138084691,1,8,8,8,success,-2.284137939750476,1.0,0.0,1.4184294955026566
