target,seed,n_agents,type0_probability,rho,source_dataset_sha256,source_error,target_error,direction_shift,coverage_kappa,neighbor_variation,shift_bound,transport_bound,mechanism_transport_bound,bound_holds,team_return,return_per_agent
strength_0.0,1015,4,0.6,0.0,31525804363a6901afc9d710e733c65c82432cc5356159c2c297dc430605e476,0.00040111805977859083,0.06089815348055112,0.06547968,1.0,0.7,0.48999999999999994,0.07613069214635783,0.5184402228451678,True,0.5760000000000001,0.14400000000000002
strength_0.35,1015,4,0.6,0.35,31525804363a6901afc9d710e733c65c82432cc5356159c2c297dc430605e476,0.00040111805977859083,0.014279715770164864,0.01636992000000001,1.0,0.35,0.12249999999999998,0.021895985103068213,0.13692067045247322,True,0.7675200000000001,0.19188000000000002
strength_1.4,1015,4,0.6,1.4,31525804363a6901afc9d710e733c65c82432cc5356159c2c297dc430605e476,0.00040111805977859083,0.07086344263900607,0.06547968000000001,1.0,0.7,0.48999999999999994,0.07613069214635783,0.5184402228451678,True,1.3420800000000002,0.33552000000000004
source,1016,4,0.6,0.7,479ed9845c80793b973244472ddb100dd4e3608c4f760acf71cc5b66cca78fb1,0.00021075412909071146,0.00021075412909071146,0.0,1.0,0.0,0.0,0.0002107541290907115,0.0002107541290907115,True,0.9590400000000001,0.23976000000000003
agents_2,1016,2,0.6,0.7,479ed9845c80793b973244472ddb100dd4e3608c4f760acf71cc5b66cca78fb1,0.00021075412909071146,0.00021075412909071146,0.0,1.0,0.0,0.0,0.0002107541290907115,0.0002107541290907115,True,0.47952000000000006,0.23976000000000003
agents_6,1016,6,0.6,0.7,479ed9845c80793b973244472ddb100dd4e3608c4f760acf71cc5b66cca78fb1,0.00021075412909071146,0.00021075412909071146,0.0,1.0,0.0,0.0,0.0002107541290907115,0.0002107541290907115,True,1.4385600000000003,0.23976000000000006
agents_8,1016,8,0.6,0.7,479ed9845c80793b973244472ddb100dd4e3608c4f760acf71cc5b66cca78fb1,0.00021075412909071146,0.00021075412909071146,0.0,1.0,0.0,0.0,0.0002107541290907115,0.0002107541290907115,True,1.9180800000000002,0.23976000000000003
composition_0.3,1016,4,0.3,0.7,479ed9845c80793b973244472ddb100dd4e3608c4f760acf71cc5b66cca78fb1,0.00021075412909071146,0.0035373921322668,0.002540160000000004,1.7499999999999998,0.41999999999999993,0.17639999999999995,0.0048448114489305204,0.1929007507510901,True,1.04616,0.26154
composition_0.9,1016,4,0.9,0.7,479ed9845c80793b973244472ddb100dd4e3608c4f760acf71cc5b66cca78fb1,0.00021075412909071146,0.003749084982230284,0.002540160000000004,1.5,0.42000000000000004,0.17640000000000003,0.004648523112586957,0.1916513971848935,True,0.9626400000000004,0.2406600000000001
strength_0.0,1016,4,0.6,0.0,479ed9845c80793b973244472ddb100dd4e3608c4f760acf71cc5b66cca78fb1,0.00021075412909071146,0.05837254391752855,0.06547968,1.0,0.7,0.48999999999999994,0.07312013477757943,0.5105350768242702,True,0.5760000000000001,0.14400000000000002
strength_0.35,1016,4,0.6,0.35,479ed9845c80793b973244472ddb100dd4e3608c4f760acf71cc5b66cca78fb1,0.00021075412909071146,0.012921729023309639,0.01636992000000001,1.0,0.35,0.12249999999999998,0.020295524453335084,0.1328729154766805,True,0.7675200000000001,0.19188000000000002
strength_1.4,1016,4,0.6,1.4,479ed9845c80793b973244472ddb100dd4e3608c4f760acf71cc5b66cca78fb1,0.00021075412909071146,0.07300832434065287,0.06547968000000001,1.0,0.7,0.48999999999999994,0.07312013477757943,0.5105350768242702,True,1.3420800000000002,0.33552000000000004
source,1017,4,0.6,0.7,a8a400b1881191dfd57fb7e03b699cb9a8751f0fe728815a9420d6e3d48ab31b,2.604619776904923e-05,2.604619776904923e-05,0.0,1.0,0.0,0.0,2.6046197769049226e-05,2.6046197769049226e-05,True,0.9590400000000001,0.23976000000000003
agents_2,1017,2,0.6,0.7,a8a400b1881191dfd57fb7e03b699cb9a8751f0fe728815a9420d6e3d48ab31b,2.604619776904923e-05,2.604619776904923e-05,0.0,1.0,0.0,0.0,2.6046197769049226e-05,2.6046197769049226e-05,True,0.47952000000000006,0.23976000000000003
