experiment,method,label,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,variant,source_n,target_n
T-L,SA,mc_learned_baseline,False,final_source_return_diagnostic,1.0294510043114227,0.00506994448466139,10,1.0264100464006183,1.0322832606908465,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,best_source_empirical_monitor_return,1.0395,0.0040620192023179975,10,1.0371000000000001,1.0419,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,seconds,6.108327810023911,0.15978948117408343,10,6.0131427810053,6.201364631297183,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,source_report_only_steps,1000.0,0.0,10,1000.0,1000.0,training_seed_or_data_batch,False,,,
T-L,SA,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,source_steps_total,262016.0,0.0,10,262016.0,262016.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,source_steps_training,94208.0,0.0,10,94208.0,94208.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,source_steps_critic,94208.0,0.0,10,94208.0,94208.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,source_steps_direction_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,source_steps_return_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,source_steps_monitor,73600.0,0.0,10,73600.0,73600.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,budget,262144.0,0.0,10,262144.0,262144.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,unused_budget,128.0,0.0,10,128.0,128.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,updates,368.0,0.0,10,368.0,368.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,accepted_updates,368.0,0.0,10,368.0,368.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,direction_rejections,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,return_rejections,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,final_source_return_diagnostic,1.0498620573790476,3.565618813761686e-05,10,1.049841382244976,1.049881946767685,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,best_source_empirical_monitor_return,1.0500000000000003,2.340555645717801e-16,10,1.0500000000000003,1.0500000000000003,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,seconds,4.239376209978945,0.08814687274947623,10,4.187674683975347,4.289296768990753,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,source_report_only_steps,1000.0,0.0,10,1000.0,1000.0,training_seed_or_data_batch,False,,,
T-L,DA,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
P-L,AN - SA,mc_learned_baseline,False,source_steps_total,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - SA,mc_learned_baseline,False,source_report_only_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - SA,mc_learned_baseline,False,source_steps_critic,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - SA,mc_learned_baseline,False,source_steps_direction_check,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - SA,mc_learned_baseline,False,source_steps_training,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - SA,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - SA,mc_learned_baseline,False,source_steps_monitor,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - SA,mc_learned_baseline,False,final_source_return_diagnostic,-0.0008079390670876485,0.0006975483492181274,10,-0.0012450795068506282,-0.00044468867662506495,paired_training_seed_or_data_batch,False,,,
P-L,AN - SA,mc_learned_baseline,False,updates,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - SA,mc_learned_baseline,False,budget,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - SA,mc_learned_baseline,False,source_steps_return_check,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - SA,mc_learned_baseline,False,unused_budget,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - DA,mc_learned_baseline,False,source_steps_total,-748.0,0.0,10,-748.0,-748.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - DA,mc_learned_baseline,False,source_report_only_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - DA,mc_learned_baseline,False,source_steps_critic,-55680.0,0.0,10,-55680.0,-55680.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - DA,mc_learned_baseline,False,source_steps_direction_check,154112.0,0.0,10,154112.0,154112.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - DA,mc_learned_baseline,False,source_steps_training,-55680.0,0.0,10,-55680.0,-55680.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - DA,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - DA,mc_learned_baseline,False,source_steps_monitor,-43500.0,0.0,10,-43500.0,-43500.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - DA,mc_learned_baseline,False,final_source_return_diagnostic,0.4146650890872349,1.1089497758158475,10,-0.0013939227487937743,1.1188083576376455,paired_training_seed_or_data_batch,False,,,
P-L,AN - DA,mc_learned_baseline,False,updates,-435.0,0.0,10,-435.0,-435.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - DA,mc_learned_baseline,False,budget,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - DA,mc_learned_baseline,False,source_steps_return_check,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,,,
P-L,AN - DA,mc_learned_baseline,False,unused_budget,748.0,0.0,10,748.0,748.0,paired_training_seed_or_data_batch,False,,,
P-L-final-transfer,AN - SA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN - SA,mc_learned_baseline,False,frozen_actor_return_diagnostic,-0.00040396953354382426,0.0003487741746090637,10,-0.0006225397534253141,-0.00022234433831253247,paired_training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN - SA,mc_learned_baseline,False,source_steps_total,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN - DA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN - DA,mc_learned_baseline,False,frozen_actor_return_diagnostic,0.20733254454361744,0.5544748879079238,10,-0.0006969613743968871,0.5594041788188228,paired_training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN - DA,mc_learned_baseline,False,source_steps_total,-748.0,0.0,10,-748.0,-748.0,paired_training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN - SA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,AN - SA,mc_learned_baseline,False,frozen_actor_return_diagnostic,-0.001211908600631606,0.0010463225238269514,10,-0.0018676192602757723,-0.0006670330149379127,paired_training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,AN - SA,mc_learned_baseline,False,source_steps_total,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,AN - DA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,AN - DA,mc_learned_baseline,False,frozen_actor_return_diagnostic,0.6219976336308528,1.6634246637237715,10,-0.002090884123190089,1.678212536456469,paired_training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,AN - DA,mc_learned_baseline,False,source_steps_total,-748.0,0.0,10,-748.0,-748.0,paired_training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,AN - SA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,AN - SA,mc_learned_baseline,False,frozen_actor_return_diagnostic,-0.00014150643711532406,0.00012659043424199844,10,-0.0002213931034605138,-7.424758451596236e-05,paired_training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,AN - SA,mc_learned_baseline,False,source_steps_total,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,AN - DA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,AN - DA,mc_learned_baseline,False,frozen_actor_return_diagnostic,0.07976695852664514,0.17280776407975748,10,-0.00024666449692822167,0.19175154338610578,paired_training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,AN - DA,mc_learned_baseline,False,source_steps_total,-748.0,0.0,10,-748.0,-748.0,paired_training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,AN - SA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False,fixed-edge,4,6
