experiment,method,label,sample_episodes,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-E,AN,exact_advantage,512,False,curvature_max,0.8400000000000001,0.0,20,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,optimization_seconds,0.018783319951035084,0.00038751799820066826,20,0.01862137567368336,0.018955077340942806,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,direction_loss,-0.06479682819544429,0.020787002697223604,20,-0.07367873650336586,-0.05563377462923593,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,direction_steps,100.0,0.0,20,100.0,100.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,q_bound,5.0,0.0,20,5.0,5.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,q_coefficient_0,0.048567376480618,0.07407508430406909,20,0.016513728033801873,0.07862262061720174,training_seed_or_data_batch,False
P-E,AN,exact_advantage,512,False,q_coefficient_1,0.34624265502998103,0.05712861739599743,20,0.32046852979507234,0.3699399291606388,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,source_steps_total,1012.0,0.0,20,1012.0,1012.0,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,source_steps_training,512.0,0.0,20,512.0,512.0,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,source_steps_validation,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,direction_error,0.003460253716140796,0.004059147938556978,20,0.0018894797735458202,0.005270185306770665,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,direction_norm,0.0637239586627253,0.019877206496179176,20,0.05492466819316821,0.07199485408714594,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,exact_score,0.06306774628385912,0.004059147938556978,20,0.06125781469322926,0.06463852022645411,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,validation_score,0.06265059000482799,0.01906037875829785,20,0.05432786895187613,0.07043848083582788,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,validation_score_variance,0.3213066943513723,0.10769432478234818,20,0.2749352155308013,0.36851539722904364,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,validation_gradient_trace_variance,4.045792713757246,0.5077687555390332,20,3.8416269424967227,4.273357783879001,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,fixed_oracle_q_score_variance,0.3629285012487514,0.04757387284301278,20,0.343153904332936,0.3826416892303326,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,fixed_oracle_q_gradient_trace_variance,4.048589477425194,0.5013234669190042,20,3.8408779660697063,4.271824779707262,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,curvature_min,0.36000000000000004,5.695323946259567e-17,20,0.36000000000000004,0.36000000000000004,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,curvature_max,1.9599999999999997,0.0,20,1.9599999999999997,1.9599999999999997,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,optimization_seconds,0.018714720010757448,0.0004940610573654061,20,0.018494854479213244,0.01892353116592858,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,direction_loss,-0.06430289410749708,0.020309077161311098,20,-0.07295406172501044,-0.05535396331315939,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,direction_steps,100.0,0.0,20,100.0,100.0,training_seed_or_data_batch,False
P-E,SA,exact_advantage,512,False,q_bound,5.0,0.0,20,5.0,5.0,training_seed_or_data_batch,False
