target,kind,condition,metric,ci_method,count,mean,std,ci_low,ci_high
agents_2,paired_ours_minus_comparator,sampled,team_return,paired_seed_bootstrap_95_pointwise,10,3.356204203441848e-13,3.475402992702051e-12,-1.5597664826394465e-12,2.4824653443999975e-12
agents_2,method,pg,team_return,seed_bootstrap_95_pointwise,10,0.9806840065353283,3.2985133900782975e-05,0.980666652073718,0.9807046041371128
agents_2,paired_ours_minus_comparator,pg,team_return,paired_seed_bootstrap_95_pointwise,10,0.0006487933838473792,3.2985134033261354e-05,0.0006281957749019482,0.0006661478504309704
agents_2,method,no_direction_check,team_return,seed_bootstrap_95_pointwise,10,0.981332799939896,1.008792989374021e-11,0.9813327999335291,0.9813327999453001
agents_2,paired_ours_minus_comparator,no_direction_check,team_return,paired_seed_bootstrap_95_pointwise,10,-2.072011451303979e-11,1.4892300339605537e-11,-2.998676029708492e-11,-1.2511029157113997e-11
agents_2,method,no_return_check,team_return,seed_bootstrap_95_pointwise,10,0.9813327999832296,3.488274277649742e-13,0.981332799983017,0.981332799983422
agents_2,paired_ours_minus_comparator,no_return_check,team_return,paired_seed_bootstrap_95_pointwise,10,-6.405397323661078e-11,1.3948479004344797e-11,-7.253403988549679e-11,-5.63618499094254e-11
agents_2,method,fit_quarter,team_return,seed_bootstrap_95_pointwise,10,0.9813327996452976,6.397681780661507e-11,0.9813327996060464,0.9813327996807562
agents_2,paired_ours_minus_comparator,fit_quarter,team_return,paired_seed_bootstrap_95_pointwise,10,2.738781423872183e-10,5.0179285365967996e-11,2.4605499637786464e-10,3.044217200542931e-10
agents_2,method,ours,per_agent_return,seed_bootstrap_95_pointwise,10,0.4906663999595879,6.9640287188913506e-12,0.4906663999553429,0.4906663999634278
agents_2,method,sampled,per_agent_return,seed_bootstrap_95_pointwise,10,0.49066639995941996,8.145358115607853e-12,0.490666399954545,0.49066639996400613
agents_2,paired_ours_minus_comparator,sampled,per_agent_return,paired_seed_bootstrap_95_pointwise,10,1.678102101720924e-13,1.7377014963510254e-12,-7.798832413197232e-13,1.2412326721999988e-12
agents_2,method,pg,per_agent_return,seed_bootstrap_95_pointwise,10,0.49034200326766414,1.6492566950391488e-05,0.490333326036859,0.4903523020685564
agents_2,paired_ours_minus_comparator,pg,per_agent_return,paired_seed_bootstrap_95_pointwise,10,0.0003243966919236896,1.6492567016630677e-05,0.0003140978874509741,0.0003330739252154852
agents_2,method,no_direction_check,per_agent_return,seed_bootstrap_95_pointwise,10,0.490666399969948,5.043964946870105e-12,0.49066639996676453,0.49066639997265005
agents_2,paired_ours_minus_comparator,no_direction_check,per_agent_return,paired_seed_bootstrap_95_pointwise,10,-1.0360057256519895e-11,7.446150169802768e-12,-1.499338014854246e-11,-6.255514578556999e-12
agents_2,method,no_return_check,per_agent_return,seed_bootstrap_95_pointwise,10,0.4906663999916148,1.744137138824871e-13,0.4906663999915085,0.490666399991711
agents_2,paired_ours_minus_comparator,no_return_check,per_agent_return,paired_seed_bootstrap_95_pointwise,10,-3.202698661830539e-11,6.9742395021723985e-12,-3.6267019942748393e-11,-2.81809249547127e-11
agents_2,method,fit_quarter,per_agent_return,seed_bootstrap_95_pointwise,10,0.4906663998226488,3.1988408903307533e-11,0.4906663998030232,0.4906663998403781
agents_2,paired_ours_minus_comparator,fit_quarter,per_agent_return,paired_seed_bootstrap_95_pointwise,10,1.3693907119360915e-10,2.5089642682983998e-11,1.2302749818893232e-10,1.5221086002714656e-10
agents_2,method,ours,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,4.04121180963557e-11,6.964028718645525e-12,3.6572084666230966e-11,4.465695147004566e-11
agents_2,method,sampled,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,4.057992830652779e-11,8.145358115397679e-12,3.59937012139877e-11,4.545496326557874e-11
agents_2,paired_ours_minus_comparator,sampled,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,-1.678102101720924e-13,1.7377014963510254e-12,-1.241232672199999e-12,7.798832413197232e-13
agents_2,method,pg,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,0.0003243967323358077,1.6492566950391488e-05,0.0003140979314436103,0.0003330739631409554
agents_2,paired_ours_minus_comparator,pg,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,-0.0003243966919236896,1.6492567016630677e-05,-0.0003330739252154852,-0.0003140978874509741
agents_2,method,no_direction_check,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,3.0052060839835806e-11,5.043964945770439e-12,2.734989942854149e-11,3.3235440788370595e-11
agents_2,paired_ours_minus_comparator,no_direction_check,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,1.0360057256519895e-11,7.446150169802768e-12,6.255514578556997e-12,1.4993380148542455e-11
agents_2,method,no_return_check,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,8.385131478050312e-12,1.7441371378433327e-13,8.288986025339895e-12,8.49137538061484e-12
agents_2,paired_ours_minus_comparator,no_return_check,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,3.202698661830539e-11,6.9742395021723985e-12,2.8180924954712696e-11,3.6267019942748393e-11
agents_2,method,fit_quarter,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,1.7735118928996485e-10,3.198840890325401e-11,1.5962183894102644e-10,1.9697684858210886e-10
